TournamentID,Place,StartingPosition,PlayerID,Ranking,Points,TB1,TB2,RankingChange

5,1,16,0,2026,7.5,39.5,49.5,2.43

5,2,14,1,2031,7.0,38.5,48.5,1.25

5,3,20,2,2012,7.0,31.5,41.5,1.04

5,4,7,3,2062,6.5,42.0,54.0,0.81

5,5,23,4,2004,6.5,41.5,53.5,1.7

5,6,5,5,2070,6.5,40.5,51.5,0.75

5,7,37,6,1939,6.5,34.5,44.5,1.19

5,8,26,7,1995,6.5,32.5,41.5,0.75

5,9,8,8,2056,6.5,31.5,40.5,0.22

5,10,21,9,2008,6.0,40.5,51.5,0.44

5,11,15,10,2031,6.0,40.5,50.5,0.41

5,12,4,11,2073,6.0,37.5,48.5,-0.27

5,13,24,12,1998,6.0,35.5,45.5,0.13

5,14,49,13,1893,6.0,35.5,45.0,2.98

5,15,18,14,2014,6.0,35.0,44.5,0.39

5,16,11,15,2034,6.0,33.5,43.0,-0.24

5,17,22,16,2006,6.0,28.5,38.0,-0.47

5,18,52,17,1878,5.5,39.5,49.0,2.3

5,19,13,18,2032,5.5,39.0,50.0,0.43

5,20,27,19,1986,5.5,38.0,48.5,0.09

5,21,87,20,1760,5.5,37.5,48.5,3.35

5,22,33,21,1947,5.5,34.5,45.0,0.81

5,23,29,22,1961,5.5,33.0,42.0,0.01

5,24,43,23,1925,5.5,32.5,40.5,0.6

5,25,57,24,1855,5.5,32.0,41.5,2.42

5,26,40,25,1929,5.5,30.0,39.0,1.08

5,27,12,26,2034,5.5,29.5,38.0,-1.25

5,28,94,27,1728,5.5,28.5,37.0,2.49

5,29,53,28,1873,5.5,28.0,37.0,0.6

5,30,42,29,1926,5.0,39.0,49.0,1.39

5,31,3,30,2076,5.0,34.5,44.0,-1.78

5,32,71,31,1816,5.0,32.5,42.5,2.32

5,33,28,32,1968,5.0,30.0,39.0,-1.55

5,34,39,33,1932,5.0,29.0,36.5,-0.81

5,35,51,34,1878,5.0,27.0,34.0,-0.2

5,36,54,35,1869,5.0,26.5,32.0,0.29

5,37,82,36,1767,4.5,38.5,49.5,2.57

5,38,79,37,1786,4.5,38.5,49.0,2.14

5,39,96,38,1715,4.5,38.0,49.0,2.56

5,40,47,39,1897,4.5,35.5,46.0,-0.21

5,41,48,40,1894,4.5,35.5,43.5,-0.3

5,42,41,41,1927,4.5,33.5,41.0,-0.82

5,43,72,42,1804,4.5,32.5,42.5,1.8

5,44,69,43,1820,4.5,31.5,41.0,1.69

5,45,75,44,1796,4.5,31.5,40.5,1.78

5,46,55,45,1865,4.5,30.5,40.0,0.13

5,47,58,46,1855,4.5,30.0,38.0,0.47

5,48,30,47,1961,4.5,29.5,36.0,-1.44

5,49,19,48,2013,4.5,28.0,36.0,-1.97

5,50,38,49,1935,4.5,27.0,34.5,-1.78

5,51,34,50,1947,4.5,26.5,33.5,-1.35

5,52,61,51,1849,4.5,26.5,33.5,0.1

5,53,76,52,1791,4.0,35.5,45.5,0.71

5,54,9,53,2054,4.0,32.5,41.0,-2.86

5,55,17,54,2023,4.0,32.0,42.0,-1.46

5,56,66,55,1832,4.0,32.0,41.5,1.23

5,57,65,56,1836,4.0,31.0,41.5,0.32

5,58,46,57,1901,4.0,30.5,39.0,-1.45

5,59,90,58,1740,4.0,30.5,38.5,0.67

5,60,25,59,1997,4.0,29.5,37.5,-1.89

5,61,67,60,1830,4.0,29.0,37.0,0.45

5,62,2,61,2082,4.0,28.5,37.0,-2.92

5,63,6,62,2062,4.0,28.0,35.5,-3.04

5,64,93,63,1731,4.0,26.5,33.0,0.72

5,65,32,64,1951,4.0,22.0,28.0,-2.26

5,66,56,65,1857,3.5,36.0,47.0,-0.38

5,67,92,66,1736,3.5,34.0,44.0,1.51

5,68,80,67,1776,3.5,33.0,43.0,0.78

5,69,85,68,1763,3.5,31.5,41.5,0.9

5,70,59,69,1854,3.5,31.5,41.0,-0.43

5,71,73,70,1799,3.5,31.0,41.0,0.51

5,72,63,71,1842,3.5,29.0,37.0,-0.46

5,73,86,72,1762,3.5,28.5,35.0,0.26

5,74,95,73,1720,3.5,27.0,34.0,0.4

5,75,35,74,1945,3.5,26.5,34.0,-2.79

5,76,81,75,1773,3.5,26.5,34.0,0.3

5,77,31,76,1954,3.5,26.5,32.5,-3.05

5,78,68,77,1824,3.5,26.0,34.0,0.16

5,79,44,78,1921,3.5,21.0,25.5,-2.57

5,80,64,79,1837,3.0,33.5,43.5,0.13

5,81,60,80,1851,3.0,33.0,42.5,0.71

5,82,10,81,2034,3.0,31.5,40.5,-1.32

5,83,70,82,1820,3.0,31.0,38.0,0.05

5,84,50,83,1881,3.0,28.0,37.0,-1.45

5,85,74,84,1799,2.5,33.5,43.5,-0.04

5,86,77,85,1790,2.5,29.5,38.5,-0.17

5,87,91,86,1736,2.5,27.5,35.0,-0.87

5,88,45,87,1914,2.5,26.0,35.5,-2.82

5,89,88,88,1758,2.5,25.5,32.0,-1.03

5,90,1,89,2096,2.0,27.5,36.0,-2.07

5,91,83,90,1767,2.0,27.0,35.5,0.52

5,92,84,91,1765,2.0,27.0,35.0,-0.28

5,93,62,92,1848,1.0,26.0,34.0,-1.14

5,94,89,93,1742,1.0,25.5,31.5,-2.22

5,95,78,94,1787,1.0,25.0,30.5,-2.83

5,96,36,95,1939,0.0,21.0,27.0,0.0

4,1,33,96,2005,7.5,40.0,51.0,2.35

4,2,27,97,2012,7.5,35.0,44.0,1.72

4,3,1,98,2099,7.0,41.0,51.5,1.28

4,4,77,99,1899,7.0,40.5,51.5,3.53

4,5,105,100,1803,6.5,43.5,55.0,4.51

4,6,80,101,1885,6.5,38.0,48.0,3.77

4,7,17,102,2024,6.5,35.0,44.5,0.64

4,8,32,103,2005,6.5,34.5,44.0,0.91

4,9,13,104,2045,6.5,34.0,44.0,0.74

4,10,8,105,2065,6.0,35.5,46.0,-0.15

4,11,5,106,2082,6.0,34.5,45.0,-0.13

4,12,31,107,2007,6.0,34.5,44.5,0.11

4,13,4,108,2084,6.0,34.0,44.0,-0.07

4,14,29,109,2009,6.0,32.0,40.0,0.33

4,15,3,110,2087,6.0,31.0,41.0,-0.15

4,16,18,111,2022,6.0,31.0,41.0,-0.07

4,17,53,112,1941,6.0,26.0,34.5,1.05

4,18,44,113,1964,5.5,38.5,50.0,1.46

4,19,81,114,1884,5.5,38.0,49.5,2.62

4,20,20,115,2018,5.5,36.5,47.5,-0.3

4,21,73,116,1907,5.5,35.0,45.0,2.33

4,22,15,117,2035,5.5,34.5,44.5,0.79

4,23,14,118,2037,5.5,34.0,43.5,-0.17

4,24,28,119,2011,5.5,33.5,44.0,-0.47

4,25,25,120,2013,5.5,33.5,42.0,-0.6

4,26,37,121,1992,5.5,33.0,42.0,-0.3

4,27,16,122,2025,5.5,31.0,39.5,-0.4

4,28,71,123,1918,5.0,39.0,50.0,1.21

4,29,95,124,1828,5.0,38.5,49.5,2.52

4,30,2,125,2093,5.0,36.5,47.5,-1.07

4,31,96,126,1827,5.0,36.5,47.5,2.48

4,32,47,127,1957,5.0,35.5,44.5,0.69

4,33,56,128,1933,5.0,35.0,44.5,1.36

4,34,92,129,1840,5.0,34.0,43.5,2.33

4,35,93,130,1839,5.0,32.5,42.0,2.27

4,36,58,131,1930,5.0,32.5,41.0,0.43

4,37,35,132,2000,5.0,32.0,41.0,-0.81

4,38,65,133,1923,5.0,31.5,41.0,1.4

4,39,9,134,2065,5.0,31.5,39.5,-1.13

4,40,55,135,1937,5.0,28.5,38.5,-0.14

4,41,12,136,2053,5.0,28.5,36.0,-1.18

4,42,42,137,1978,5.0,28.5,36.0,-1.19

4,43,6,138,2074,5.0,28.0,34.5,-1.52

4,44,50,139,1946,5.0,26.5,34.5,-0.45

4,45,98,140,1821,4.5,37.5,48.0,2.17

4,46,43,141,1975,4.5,36.5,48.0,-0.13

4,47,85,142,1861,4.5,36.0,46.5,1.6

4,48,63,143,1925,4.5,34.0,44.5,1.24

4,49,46,144,1959,4.5,34.0,42.5,0.08

4,50,60,145,1926,4.5,33.5,42.5,1.19

4,51,87,146,1855,4.5,33.0,43.5,1.37

4,52,72,147,1911,4.5,32.5,42.0,1.11

