Idorder,Idclient,Idsession
1,12,242
2,2,10
3,4,325
4,2,181
5,2,135
6,13,163
7,6,211
8,15,168
9,2,312
10,12,204
11,5,250
12,10,10
13,3,326
14,11,13
15,10,115
16,13,101
17,15,106
18,3,122
19,19,307
20,16,71
21,14,166
22,3,22
23,8,6
24,14,198
25,14,76
26,16,148
27,9,100
28,17,103
29,12,213
30,6,37
31,12,248
32,5,64
33,8,106
34,19,200
35,15,201
36,10,159
37,19,120
38,10,311
39,11,320
40,16,275
41,17,216
42,20,18
43,6,232
44,6,226
45,19,70
46,8,175
47,3,119
48,4,49
49,13,242
50,8,110
51,20,63
52,6,238
53,11,63
54,11,105
55,19,16
56,18,269
57,13,226
58,13,157
59,2,90
60,19,114
61,7,270
62,9,276
63,3,47
64,1,226
65,11,267
66,19,280
67,9,76
68,20,295
69,13,245
70,13,191
71,20,2
72,13,114
73,18,171
74,12,170
75,11,312
76,9,84
77,3,197
78,14,13
79,17,29
80,14,168
81,1,236
82,17,129
83,8,274
84,10,204
85,6,8
86,7,90
87,1,207
88,7,237
89,6,3
90,10,6
91,3,102
92,7,162
93,20,177
94,6,323
95,14,92
96,19,101
97,4,64
98,20,163
99,12,9
100,7,128
101,14,144
102,3,288
103,5,48
104,18,271
105,3,199
106,19,86
107,1,121
108,6,3
109,19,60
110,10,19
111,11,196
112,2,292
113,19,152
114,17,68
115,19,189
116,9,96
117,17,199
118,20,98
119,8,146
120,11,2
121,9,148
122,5,309
123,19,128
124,18,220
125,12,265
126,12,326
127,1,320
128,2,254
129,9,139
130,17,262
131,13,6
132,2,142
133,8,238
134,19,272
135,5,11
136,9,259
137,20,103
138,18,272
139,11,119
140,18,1
141,16,287
142,1,122
143,18,220
144,16,275
145,18,251
146,1,45
147,17,86
148,8,154
149,6,238
150,4,74
151,9,76
152,1,255
153,5,47
154,3,291
155,20,153
156,13,185
157,14,124
158,17,81
159,18,100
160,16,305
161,17,320
162,13,105
163,9,319
164,16,313
165,15,81
166,5,106
167,16,55
168,13,298
169,8,169
170,6,155
171,11,146
172,4,227
173,9,78
174,19,10
175,3,135
176,10,149
177,7,228
178,7,147
179,15,279
180,20,311
181,14,22
182,18,306
