Iddev;idStore;Idpick;Date;;;
1;1;1;2021-03-06;;;
2;1;1;2021-03-23;;;
3;1;1;2021-06-07;;;
4;2;1;2021-07-17;;;
5;3;1;2021-07-17;;;
6;2;1;2021-08-06;;;
7;1;1;2021-08-15;;;
8;2;1;2021-09-10;;;
9;3;1;2021-09-19;;;
10;2;2;2021-04-03;;;
11;1;2;2021-05-06;;;
12;3;2;2021-07-06;;;
13;3;2;2021-08-09;;;
14;2;2;2021-08-09;;;
15;2;2;2021-08-31;;;
16;1;2;2021-09-10;;;
17;1;2;2021-09-17;;;
18;3;3;2021-04-05;;;
19;3;3;2021-04-06;;;
20;2;3;2021-06-30;;;
21;2;3;2021-09-20;;;
22;1;4;2021-05-10;;;
23;1;4;2021-06-20;;;
24;3;4;2021-07-20;;;
25;2;4;2021-07-20;;;
26;2;4;2021-08-07;;;
27;2;4;2021-08-27;;;
28;1;4;2021-09-07;;;
29;1;4;2021-09-09;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
